author,title,date,style,genre,media,dimensions,tag,location,link,image
Karl Otto Gotz,Gilgamesh,1947,Art Informel,abstract,N/A,N/A,N/A,N/A,https://uploads8.wikiart.org/images/karl-otto-gotz/gilgamesh-1947.jpg,gilgamesh-1947.jpg
Milton Resnick,Cargo,1957,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads4.wikiart.org/images/milton-resnick/cargo-1957.jpg,cargo-1957.jpg
Milton Resnick,Painting I,1957,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/milton-resnick/painting-i-1957.jpg,painting-i-1957.jpg
Milton Resnick,Roseland,1959,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/roseland-1959.jpg,roseland-1959.jpg
Milton Resnick,Untitled #6,1959,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/milton-resnick/untitled-6-1959.jpg,untitled-6-1959.jpg
Milton Resnick,Untitled,1959,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/untitled-1959.jpg,untitled-1959.jpg
Milton Resnick,Untitled,1959,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/milton-resnick/untitled.jpg,untitled.jpg
Milton Resnick,Untitled,1960,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/untitled-1960.jpg,untitled-1960.jpg
Milton Resnick,Untitled,1960,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/milton-resnick/untitled-1960-1.jpg,untitled-1960-1.jpg
Milton Resnick,Hydrogen,1961,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/milton-resnick/hydrogen-1961.jpg,hydrogen-1961.jpg
Milton Resnick,Abstraction,1963,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/milton-resnick/abstraction-1963.jpg,abstraction-1963.jpg
Milton Resnick,Composition,1963,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/milton-resnick/composition-1963.jpg,composition-1963.jpg
